Latitude,Longitude,Stop Name,Stop Status
40.699311,-73.911253,PALMETTO ST/WYCKOFF AV,at stop
40.685812,-73.95411,GATES AV/BEDFORD AV,at stop
40.693342,-73.990591,CADMAN PLZ W/MONTAGUE ST,at stop
40.689188,-73.981664,FULTON ST/FLATBUSH AV EXT,approaching
40.68643,-73.968244,GREENE AV/VANDERBILT AV,approaching
40.69244,-73.919174,GATES AV/EVERGREEN AV,approaching
40.693306,-73.989108,ADAMS ST/BKLYN SUPREME CRT,approaching
40.688794,-73.928182,GATES AV/PATCHEN AV,approaching
40.688794,-73.928182,GATES AV/PATCHEN AV,approaching
40.698383,-73.913336,PALMETTO ST/IRVING AV,approaching
40.690275,-73.984391,FULTON ST/BOND ST,approaching
40.696187,-73.990996,Tillary St (not used),approaching
40.690827,-73.985769,FULTON ST/JAY ST,approaching
40.689581,-73.982661,FULTON ST/FLATBUSH AV EXT,approaching
40.687388,-73.977119,FULTON ST/HUDSON AV,< 1 stop away
